osm_id,name,category,subcategory,latitude,longitude,source,collection_date
node/11698427218,STAR WORLD CINEMA,amenity,cinema,27.509466,77.6727693,OpenStreetMap,2026-09-10
node/11698469547,RELIANCE MART,shop,mall,27.5074879,77.6727881,OpenStreetMap,2026-09-10
node/11698509050,JAWAR,amenity,school,27.511504,77.6707303,OpenStreetMap,2026-09-10
node/11698509051,JAWAR,amenity,school,27.5114564,77.6696896,OpenStreetMap,2026-09-10
node/11754683438,Unnamed,amenity,place_of_worship,27.5790459,77.6971569,OpenStreetMap,2026-09-10
node/11754683444,Minti’s Cafe,amenity,cafe,27.5751227,77.6950476,OpenStreetMap,2026-09-10
node/12555500493,Panch Mukhi Temple,amenity,place_of_worship,27.2890376,77.7128942,OpenStreetMap,2026-09-10
node/12592913133,Shri Prachin Hanuman Mandir,amenity,place_of_worship,27.4861829,77.6675151,OpenStreetMap,2026-09-10
node/12592918077,Baba Jai Guru Dev Shanti Sthal,amenity,place_of_worship,27.4748193,77.6565893,OpenStreetMap,2026-09-10
node/12592922089,Dr Bhavna Diagnostic Center,amenity,doctors,27.48177,77.6606838,OpenStreetMap,2026-09-10
node/12592926516,Shiv Temple,amenity,place_of_worship,27.4826941,77.6546613,OpenStreetMap,2026-09-10
node/12592940378,Devi Temple,amenity,place_of_worship,27.4811588,77.6559929,OpenStreetMap,2026-09-10
node/12592941503,Dr. C L Dullo Clinic,amenity,clinic,27.4818071,77.6565076,OpenStreetMap,2026-09-10
node/12592949359,Pathkind,amenity,doctors,27.4815497,77.6605524,OpenStreetMap,2026-09-10
node/12592949636,FCI godown,shop,model,27.4853287,77.6667133,OpenStreetMap,2026-09-10
node/12593340166,DEVI MAA TEMPLE,amenity,place_of_worship,27.2867437,77.7181552,OpenStreetMap,2026-09-10
node/12593340168,PARKHAM POST OFFICE,amenity,post_office,27.2877516,77.7181148,OpenStreetMap,2026-09-10
node/12595596740,Shri Krishna Hospital,amenity,hospital,27.4814835,77.6574168,OpenStreetMap,2026-09-10
node/12595612542,Bhaskar Hospital,amenity,hospital,27.4819732,77.657301,OpenStreetMap,2026-09-10
node/12595617525,UCO Bank,amenity,bank,27.4809423,77.6567482,OpenStreetMap,2026-09-10
node/12595621220,Anurag Trauma Centre,amenity,hospital,27.4895589,77.6556262,OpenStreetMap,2026-09-10
node/12595622469,Mathura Neuro Super Specialist Hospital,amenity,hospital,27.4891466,77.6557901,OpenStreetMap,2026-09-10
node/12595635574,Radha Nagar Gurudwara,amenity,place_of_worship,27.5011734,77.6586892,OpenStreetMap,2026-09-10
node/12595638945,Hanuman Mandir,amenity,place_of_worship,27.5006437,77.6551091,OpenStreetMap,2026-09-10
node/12595639087,Firstcry,shop,mall,27.4929408,77.6733017,OpenStreetMap,2026-09-10
node/12595643010,The Gastro and Liver Care Hospital,amenity,hospital,27.4933641,77.6539583,OpenStreetMap,2026-09-10
node/12595651182,Shri Bhuteshwar Mahadev Temple,amenity,place_of_worship,27.4998805,77.6684018,OpenStreetMap,2026-09-10
node/12595654340,Rohit Kidney Stone and Hospital,amenity,hospital,27.4991246,77.6535856,OpenStreetMap,2026-09-10
node/12595671926,V Mart,shop,mall,27.4930422,77.6731636,OpenStreetMap,2026-09-10
node/12595677059,RK Hospital,amenity,hospital,27.4956821,77.6721673,OpenStreetMap,2026-09-10
node/12595732299,Banmal Asharam,amenity,place_of_worship,27.4954882,77.6722478,OpenStreetMap,2026-09-10
node/12595815327,Radha Krishna Mandir,amenity,place_of_worship,27.5308029,77.660396,OpenStreetMap,2026-09-10
node/12595821724,Maheshwari Hospital,amenity,hospital,27.529647,77.6587635,OpenStreetMap,2026-09-10
node/12595847155,Hotel Aryavilas,amenity,restaurant,27.4726542,77.6588803,OpenStreetMap,2026-09-10
node/12595873837,Kiran Hospital,amenity,hospital,27.470206,77.6588638,OpenStreetMap,2026-09-10
node/12595884330,Jai Gurudev Dhaba,amenity,restaurant,27.4704443,77.660534,OpenStreetMap,2026-09-10
node/12595885976,Orthonova Hospital,amenity,hospital,27.473319,77.658659,OpenStreetMap,2026-09-10
node/12595886109,Unnamed,amenity,place_of_worship,27.4777016,77.6596744,OpenStreetMap,2026-09-10
node/12595888672,Jaigurudev Asharam,amenity,place_of_worship,27.476986,77.6586761,OpenStreetMap,2026-09-10
node/12595903527,Vardan Heart Care,amenity,hospital,27.4829497,77.6635215,OpenStreetMap,2026-09-10
node/12719261418,सांवरिया फूड्स,amenity,restaurant,27.5038607,77.6684314,OpenStreetMap,2026-09-10
node/12719325186,Thakur ji food plaza,amenity,restaurant,27.5706891,77.6723494,OpenStreetMap,2026-09-10
node/12719325187,Radha Rani hospital,amenity,hospital,27.5691036,77.6732,OpenStreetMap,2026-09-10
node/12719325188,Balaji bhojnalaya and dhaba,amenity,restaurant,27.5695891,77.6741968,OpenStreetMap,2026-09-10
node/12719325190,Kanha food court,amenity,restaurant,27.5705832,77.6735262,OpenStreetMap,2026-09-10
node/12719325191,Vrindavan darbar,amenity,restaurant,27.5707155,77.6734826,OpenStreetMap,2026-09-10
node/12719325192,Bikanerwala,amenity,restaurant,27.57121,77.6730523,OpenStreetMap,2026-09-10
node/12719325193,Sri chintamani kunj,amenity,place_of_worship,27.5711878,77.6727511,OpenStreetMap,2026-09-10
node/12719325194,Sant Vriddh Ashram,amenity,social_facility,27.5711184,77.672337,OpenStreetMap,2026-09-10
node/12719325195,The royal food plaza,amenity,restaurant,27.5706715,77.6710374,OpenStreetMap,2026-09-10
